Sec	mm	kN
7.2207031	0.33232749	-0.99472761
7.3203125	0.28485212	-2.4868195
7.4199219	0.30384225	-3.0989597
7.5195313	0.33232749	-4.1702051
7.6191406	0.2943472	-4.7823453
7.71875	0.26586199	-6.1979198
7.8183594	0.21838662	-7.1161304
7.9179688	0.25636691	-7.7282705
8.0175781	0.22788168	-9.1025991
8.1171875	0.24687183	-9.8655615
8.2167969	0.18990141	-11.238894
8.3164063	0.19939648	-12.230746
8.4160156	0.24687183	-12.841117
8.515625	0.14242604	-13.527783
8.6152344	0.16141619	-14.901116
8.7148438	0.18040633	-15.358893
8.8144531	0.19939648	-16.427042
8.9140625	0.15192112	-17.190004
9.0136719	0.14242604	-17.991116
9.1132813	0.15192112	-18.90667
9.2128906	0.12343591	-19.860374
9.3125	0.094950698	-21.729633
9.4121094	0.14242604	-21.958521
9.5117188	0.047475338	-22.912224
9.6113281	0.066465482	-23.789631
9.7109375	0.03798027	-24.819632
9.8105469	-1.6345938e-08	-25.811483
9.9101563	0.075960554	-26.49815
10.009766	0.018990126	-27.642593
10.109375	0.066465482	-28.405556
10.208984	0.028485198	-30.16037
10.308594	-1.6345938e-08	-30.503704
10.408203	-1.6345938e-08	-31.877037
10.507813	0.0094950544	-32.487408
10.607422	-1.6345938e-08	-33.746296
10.707031	-0.047475372	-34.928886
10.806641	-0.037980299	-34.967037
10.90625	-0.018990159	-35.920738
11.005859	-0.018990159	-37.294071
11.105469	-0.085455656	-38.171478
11.205078	-0.1044458	-38.667404
11.304688	-0.085455656	-39.048885
11.404297	-0.085455656	-40.803699
11.503906	-0.12343594	-41.185181
11.603516	-0.075960584	-42.138885
11.703125	-0.056970444	-43.016293
11.802734	-0.066465512	-44.237034
11.902344	-0.19939651	-45.038143
12.001953	-0.22788173	-45.610367
12.101563	-0.11394087	-46.525921
12.201172	-0.19939651	-47.365181
12.300781	-0.18040636	-47.975552
12.400391	-0.15192115	-49.501476
12.5	-0.22788173	-49.80666
12.599609	-0.18040636	-50.912956
12.699219	-0.22788173	-51.48518
12.798828	-0.21838665	-52.32444
12.898438	-0.23737679	-53.50703
12.998047	-0.21838665	-54.613327
13.097656	-0.28485215	-55.567028
13.197266	-0.25636694	-55.681473
13.296875	-0.31333736	-57.207401
13.396484	-0.37980285	-57.016659
13.496094	-0.31333736	-57.512585
13.595703	-0.30384231	-58.275547
13.695313	-0.35131764	-59.381844
13.794922	-0.28485215	-60.106659
13.894531	-0.34182256	-60.602585
13.994141	-0.31333736	-61.289249
14.09375	-0.33232751	-62.777027
14.193359	-0.37980285	-63.234806
14.292969	-0.41778314	-63.425545
14.392578	-0.38929793	-64.646286
14.492188	-0.39879301	-65.638138
14.591797	-0.4367733	-65.332954
14.691406	-0.37980285	-65.943321
14.791016	-0.46525851	-67.125916
14.890625	-0.44626835	-67.888878
14.990234	-0.41778314	-68.957024
15.089844	-0.4367733	-69.491096
15.189453	-0.51273388	-70.55925
15.289063	-0.49374372	-71.055176
15.388672	-0.56020921	-71.779991
15.488281	-0.5032388	-72.695541
15.587891	-0.49374372	-73.72554
15.6875	-0.56020921	-74.259613
15.787109	-0.53172398	-74.335915
15.886719	-0.55071414	-75.137024
15.986328	-0.54121906	-75.97628
16.085938	-0.57919937	-77.31147
16.185547	-0.57919937	-77.998131
16.285156	-0.56970429	-78.722946
16.384766	-0.60768455	-79.600357
16.484375	-0.57919937	-80.210724
16.583984	-0.59818947	-81.317024
16.683594	-0.62667471	-81.851097
16.783203	-0.68364513	-83.338875
16.882813	-0.62667471	-83.644058
16.982422	-0.64566487	-83.720352
17.082031	-0.67415005	-85.437019
17.181641	-0.68364513	-86.047394
17.28125	-0.74061555	-86.390724
17.380859	-0.69314021	-87.153687
17.480469	-0.69314021	-88.259979
17.580078	-0.65515995	-88.755905
17.679688	-0.75960571	-89.557022
17.779297	-0.75960571	-90.625168
17.878906	-0.71213037	-90.510727
17.978516	-0.75960571	-91.578873
18.078125	-0.73112047	-92.570724
18.177734	-0.78809094	-92.456276
18.277344	-0.77859586	-93.715164
18.376953	-0.77859586	-94.249237
18.476563	-0.83556628	-95.31739
18.576172	-0.83556628	-95.660721
18.675781	-0.8260712	-96.423683
18.775391	-0.81657612	-96.843315
18.875	-0.86405146	-98.254791
18.974609	-0.92102194	-98.331093
19.074219	-0.85455644	-99.094055
19.173828	-0.81657612	-99.895164
19.273438	-0.94950712	-100.42924
19.373047	-0.92102194	-101.15405
19.472656	-0.88304162	-101.72627
19.572266	-0.88304162	-101.95516
19.671875	-0.91152686	-103.59554
19.771484	-0.97799236	-103.97701
19.871094	-0.92102194	-103.93887
19.970703	-0.97799236	-105.3122
20.070313	-0.9590022	-106.07516
0.15332031	-1.0064776	-103.63368
0.25292969	-0.94950712	-103.51924
0.35253906	-0.9590022	-102.75627
0.45214844	-0.94001204	-100.92516
0.55175781	-0.97799236	-99.704422
0.65136719	-0.98748744	-98.559982
0.75097656	-0.91152686	-97.491829
0.85058594	-0.91152686	-96.423683
0.95019531	-0.93051696	-95.393684
1.0498047	-0.92102194	-94.630722
1.1494141	-0.85455644	-93.715164
1.2490234	-0.86405146	-92.074799
1.3486328	-0.88304162	-91.235535
1.4482422	-0.93051696	-90.396278
1.5478516	-0.81657612	-89.480721
1.6474609	-0.86405146	-88.221832
1.7470703	-0.85455644	-87.22998
1.8466797	-0.85455644	-85.818504
1.9462891	-0.78809094	-85.093689
2.0458984	-0.76910079	-84.06369
2.1455078	-0.77859586	-83.720352
2.2451172	-0.77859586	-82.575912
2.3447266	-0.84506136	-81.431465
2.4443359	-0.71213037	-80.744797
2.5439453	-0.74061555	-79.943687
2.6435547	-0.70263529	-78.989983
2.7431641	-0.70263529	-78.417763
2.8427734	-0.71213037	-77.006279
2.9423828	-0.76910079	-76.090729
3.0419922	-0.71213037	-75.175171
3.1416016	-0.75960571	-74.259613
3.2412109	-0.71213037	-73.115173
3.3408203	-0.61717963	-72.085175
3.4404297	-0.65515995	-71.436653
3.5400391	-0.61717963	-70.215912
3.6396484	-0.65515995	-69.529251
3.7392578	-0.62667471	-68.88073
3.8388672	-0.64566487	-67.736282
3.9384766	-0.66465497	-66.362953
4.0380859	-0.60768455	-65.714432
4.1376953	-0.57919937	-64.951469
4.2373047	-0.56970429	-64.035919
4.3369141	-0.57919937	-62.891472
4.4365234	-0.59818947	-62.014065
4.5361328	-0.55071414	-61.441841
4.6357422	-0.55071414	-60.71703
4.7353516	-0.56970429	-59.267399
4.8349609	-0.47475356	-58.885918
4.9345703	-0.52222896	-58.80962
5.0341797	-0.5032388	-57.207401
