Sec	mm	kN
6.0253906	0.45576394	3.6345828
6.125	0.43677381	2.8694074
6.2246094	0.45576394	0.87995166
6.3242188	0.45576394	-0.68865776
6.4238281	0.39879352	-1.5301294
6.5234375	0.39879352	-3.2086475
6.6230469	0.39879352	-4.238647
6.7226563	0.32283294	-5.4212394
6.8222656	0.38929844	-6.8327203
6.921875	0.37030831	-8.0534611
7.0214844	0.28485265	-9.464942
7.1210938	0.30384278	-9.92272
7.2207031	0.32283294	-11.181608
7.3203125	0.30384278	-12.135311
7.4199219	0.27535757	-13.966422
7.5195313	0.30384278	-14.347903
7.6191406	0.31333786	-15.911977
7.71875	0.28485265	-17.590494
7.8183594	0.27535757	-18.92568
7.9179688	0.25636744	-20.184568
8.0175781	0.22788222	-20.33716
8.1171875	0.1709118	-21.367161
8.2167969	0.2373773	-23.503456
8.3164063	0.21838716	-24.6479
8.4160156	0.16141672	-25.029381
8.515625	0.21838716	-26.89864
8.6152344	0.1424266	-26.784197
8.7148438	0.15192166	-28.15753
8.8144531	0.1709118	-29.454565
8.9140625	0.15192166	-30.026787
9.0136719	0.10444631	-31.972343
9.1132813	0.10444631	-32.659008
9.2128906	0.10444631	-33.841602
9.3125	0.10444631	-34.604565
9.4121094	0.12343644	-36.092342
9.5117188	0.12343644	-37.427525
9.6113281	0.066466019	-38.228638
9.7109375	0.075961091	-38.915302
9.8105469	0.05697095	-40.250488
9.9101563	0.037980806	-41.394932
10.009766	0.066466019	-42.386784
10.109375	0.05697095	-43.798264
10.208984	0.0094955927	-44.866413
10.308594	0.028485736	-45.820118
10.408203	-0.0094945496	-46.888264
10.507813	0.0094955927	-47.079006
10.607422	-0.056969903	-48.986412
10.707031	0.0094955927	-50.703079
10.806641	-0.08545512	-51.733078
10.90625	-0.094950192	-52.457893
11.005859	-0.066464975	-53.106411
11.105469	-0.047474835	-53.373447
11.205078	-0.15192062	-55.280853
11.304688	-0.08545512	-56.38715
11.404297	-0.028484691	-56.959373
11.503906	-0.1234354	-58.027519
11.603516	-0.11394033	-58.866779
11.703125	-0.10444526	-59.095669
11.802734	-0.14242555	-60.697891
11.902344	-0.11394033	-62.376408
12.001953	-0.18040583	-62.56715
12.101563	-0.20889105	-64.093071
12.201172	-0.21838611	-64.588997
12.300781	-0.21838611	-65.313812
12.400391	-0.16141568	-66.153076
12.5	-0.18040583	-67.297516
12.599609	-0.22788118	-68.518257
12.699219	-0.21838611	-69.166779
12.798828	-0.28485161	-70.234924
12.898438	-0.20889105	-71.455666
12.998047	-0.28485161	-72.256775
13.097656	-0.26586148	-73.286774
13.197266	-0.29434669	-74.011589
13.296875	-0.31333682	-75.384926
13.396484	-0.31333682	-76.453072
13.496094	-0.31333682	-77.48307
13.595703	-0.31333682	-77.940849
13.695313	-0.35131711	-80.153442
13.794922	-0.34182203	-80.038994
13.894531	-0.35131711	-80.954552
13.994141	-0.35131711	-81.717514
14.09375	-0.37980232	-83.167145
14.193359	-0.35131711	-83.815659
14.292969	-0.3892974	-84.540474
14.392578	-0.3892974	-85.0364
14.492188	-0.3892974	-85.913811
14.591797	-0.39879248	-86.600471
14.691406	-0.4177826	-88.011955
14.791016	-0.42727768	-88.622322
14.890625	-0.44626781	-89.576027
14.990234	-0.42727768	-90.033806
15.089844	-0.46525797	-91.597878
15.189453	-0.47475302	-92.131958
15.289063	-0.47475302	-93.047508
15.388672	-0.45576289	-93.200104
15.488281	-0.54121852	-94.03936
15.587891	-0.47475302	-95.756027
15.6875	-0.52222836	-95.756027
15.787109	-0.60768402	-97.091209
15.886719	-0.58869392	-97.892326
15.986328	-0.58869392	-98.655289
16.085938	-0.58869392	-99.074913
16.185547	-0.5507136	-99.685287
16.285156	-0.59818894	-100.37195
16.384766	-0.57919884	-100.82973
16.484375	-0.60768402	-101.93603
16.583984	-0.60768402	-102.43195
16.683594	-0.59818894	-103.15677
16.783203	-0.57919884	-103.88158
16.882813	-0.67414951	-104.49195
16.982422	-0.63616925	-105.36935
17.082031	-0.67414951	-105.52195
17.181641	-0.72162491	-106.74269
17.28125	-0.64566433	-107.6964
17.380859	-0.71212983	-108.72639
17.480469	-0.70263475	-109.10787
17.580078	-0.75011009	-110.06158
17.679688	-0.71212983	-110.7101
17.779297	-0.75011009	-111.28232
17.878906	-0.70263475	-111.81639
17.978516	-0.75960517	-112.54121
18.078125	-0.77859533	-113.22787
18.177734	-0.81657559	-113.49491
18.277344	-0.81657559	-113.83824
18.376953	-0.77859533	-114.29602
18.476563	-0.84506083	-115.21158
18.576172	-0.81657559	-116.39417
18.675781	-0.83556575	-116.16528
18.775391	-0.80708051	-116.8138
18.875	-0.86405092	-117.80565
18.974609	-0.86405092	-117.61491
19.074219	-0.86405092	-118.64491
19.173828	-0.88304108	-119.06454
19.273438	-0.90203124	-119.25528
19.373047	-0.93051642	-119.56046
19.472656	-0.95900166	-120.28528
19.572266	-0.89253616	-120.24713
19.671875	-0.9210214	-121.01009
19.771484	-0.94950658	-121.46787
19.871094	-0.9210214	-121.9638
19.970703	-0.94950658	-122.19269
20.070313	-0.97799182	-122.34528
0.1484375	-0.97799182	-110.06158
0.24804688	-0.97799182	-109.71825
0.34765625	-1.006477	-108.45936
0.44726563	-0.95900166	-107.39121
0.546875	-0.95900166	-105.94158
0.64648438	-0.93051642	-104.75899
0.74609375	-0.89253616	-103.53825
0.84570313	-0.91152632	-101.93603
0.9453125	-0.91152632	-101.32565
1.0449219	-0.873546	-100.06676
1.1445313	-0.90203124	-99.151215
1.2441406	-0.84506083	-97.739731
1.34375	-0.89253616	-96.557137
1.4433594	-0.89253616	-94.954918
1.5429688	-0.93051642	-94.344543
1.6425781	-0.86405092	-93.543434
1.7421875	-0.86405092	-92.170105
1.8417969	-0.81657559	-91.101952
1.9414063	-0.86405092	-89.881218
2.0410156	-0.84506083	-88.355286
2.140625	-0.82607067	-87.248993
2.2402344	-0.73111993	-86.295288
2.3398438	-0.77859533	-85.150848
2.4394531	-0.78809041	-84.769363
2.5390625	-0.74061501	-83.205292
2.6386719	-0.76910025	-81.526772
2.7382813	-0.73111993	-80.687515
2.8378906	-0.72162491	-78.8564
2.9375	-0.70263475	-77.48307
3.0371094	-0.72162491	-77.025291
3.1367188	-0.72162491	-76.262329
3.2363281	-0.71212983	-75.117882
3.3359375	-0.74061501	-74.202332
3.4355469	-0.66465443	-73.019737
3.5351563	-0.68364459	-72.066032
3.6347656	-0.67414951	-70.196777
3.734375	-0.68364459	-69.929741
3.8339844	-0.59818894	-67.984184
3.9335938	-0.5507136	-67.068626
4.0332031	-0.62667418	-66.267517
4.1328125	-0.5507136	-64.932335
4.2324219	-0.60768402	-64.32196
4.3320313	-0.59818894	-63.826038
4.4316406	-0.5507136	-62.033073
4.53125	-0.54121852	-61.117519
4.6308594	-0.56970376	-60.354557
4.7304688	-0.57919884	-59.706039
4.8300781	-0.54121852	-59.057518
4.9296875	-0.5507136	-57.722336
5.0292969	-0.51273334	-56.883076
5.1289063	-0.4842481	-54.74678
5.2285156	-0.50323826	-53.869373
5.328125	-0.49374318	-53.56419
5.4277344	-0.47475302	-52.457893
5.5273438	-0.46525797	-50.893818
5.6269531	-0.46525797	-50.207153
5.7265625	-0.44626781	-49.253448
5.8261719	-0.46525797	-48.185299
5.9257813	-0.46525797	-46.430485
6.0253906	-0.42727768	-46.354191
6.125	-0.4177826	-45.97271
6.2246094	-0.44626781	-44.256042
6.3242188	-0.39879248	-43.989006
6.4238281	-0.39879248	-42.119747
6.5234375	-0.36081219	-41.013451
6.6230469	-0.31333682	-40.441231
6.7226563	-0.37980232	-39.258636
6.8222656	-0.33232698	-38.419376
6.921875	-0.37980232	-37.656414
7.0214844	-0.3228319	-35.67271
7.1210938	-0.31333682	-34.909748
7.2207031	-0.28485161	-34.642712
7.3203125	-0.27535653	-32.659008
7.4199219	-0.28485161	-31.972343
7.5195313	-0.30384174	-31.361973
7.6191406	-0.29434669	-30.255676
7.71875	-0.22788118	-28.996788
7.8183594	-0.22788118	-27.776047
7.9179688	-0.22788118	-27.08938
8.0175781	-0.19939597	-25.6779
8.1171875	-0.19939597	-24.342714
8.2167969	-0.17091076	-23.42716
8.3164063	-0.22788118	-22.778641
8.4160156	-0.1234354	-21.061975
8.515625	-0.1899009	-20.98568
8.6152344	-0.16141568	-19.803087
8.7148438	-0.14242555	-18.08642
8.8144531	-0.16141568	-17.437902
8.9140625	-0.18040583	-16.217161
9.0136719	-0.094950192	-15.530496
9.1132813	-0.11394033	-15.03457
9.2128906	-0.066464975	-13.508644
9.3125	-0.047474835	-12.631237
9.4121094	-0.08545512	-12.097163
9.5117188	-0.08545512	-9.9990158
9.6113281	-0.037979763	-9.5412378
9.7109375	-0.037979763	-9.0453119
9.8105469	-0.075960048	-7.7482758
9.9101563	-0.10444526	-6.5656834
10.009766	-0.056969903	-5.61198
10.109375	-0.08545512	-5.344943
10.208984	-0.018989621	-3.5901287
10.308594	-0.028484691	-2.7508698
10.408203	-0.028484691	-1.5682775
10.507813	0.047475878	-0.11477627
10.607422	0.018990664	0.72691661
10.707031	0.066466019	1.9511971
10.806641	0.085456163	2.8694074
10.90625	0.047475878	3.8641355
11.005859	0.075961091	4.8206048
11.105469	0.13293152	6.0448852
11.205078	0.066466019	6.9630957
11.304688	0.094951235	7.8047886
11.404297	0.11394137	8.5699635
11.503906	0.11394137	9.7559853
11.603516	0.1424266	10.712455
11.703125	0.12343644	12.013253
11.802734	0.1424266	13.543603
11.902344	0.20889209	14.538331
12.001953	0.22788222	14.920919
12.101563	0.18040687	15.418283
12.201172	0.18040687	16.986893
12.300781	0.2373773	16.986893
12.400391	0.20889209	18.325949
12.5	0.19939701	19.588488
12.599609	0.20889209	20.009335
12.699219	0.27535757	21.845757
12.798828	0.22788222	23.376106
12.898438	0.29434773	24.409094
12.998047	0.27535757	24.868198
13.097656	0.30384278	26.322031
13.197266	0.24687237	27.508053
13.296875	0.32283294	28.349747
13.396484	0.34182307	29.574026
13.496094	0.35131815	30.530497
13.595703	0.28485265	31.295671
13.695313	0.33232802	32.902538
13.794922	0.33232802	33.667713
13.894531	0.36081323	34.509407
13.994141	0.40828857	35.465878
14.09375	0.38929844	37.072746
14.193359	0.36081323	37.761402
14.292969	0.38929844	38.985683
14.392578	0.41778365	39.865635
14.492188	0.40828857	41.357727
14.591797	0.49374422	43.041111
14.691406	0.44626886	43.538475
14.791016	0.47475407	44.839275
14.890625	0.44626886	45.413155
14.990234	0.42727873	46.943508
15.089844	0.45576394	48.09127
15.189453	0.47475407	49.545101
15.289063	0.45576394	49.96595
15.388672	0.51273435	51.993664
15.488281	0.53172451	52.758839
15.587891	0.53172451	53.830086
15.6875	0.55071467	55.360435
15.787109	0.54121959	56.316906
15.886719	0.56020969	57.388149
15.986328	0.55071467	58.497654
16.085938	0.57919985	59.913227
16.185547	0.59819001	60.563629
16.285156	0.64566535	61.787907
16.384766	0.59819001	62.629601
16.484375	0.62667519	64.121696
16.583984	0.67415059	64.84861
16.683594	0.60768509	66.072891
16.783203	0.68364567	67.832794
16.882813	0.63617027	67.947571
16.982422	0.66465551	70.281357
17.082031	0.63617027	70.51091
17.181641	0.72162592	71.926483
17.28125	0.71213084	72.997726
17.380859	0.69314069	74.451561
17.480469	0.65516043	75.254997
17.580078	0.72162592	76.861862
17.679688	0.74061608	77.129677
17.779297	0.7975865	78.813057
